NIS, CHI_2 
4.30253, 7.815
4.01338, 5.991 
3.75569, 7.815
1.04586, 5.991 
2.69626, 7.815
3.71863, 5.991 
2.808, 7.815
0.90859, 5.991 
2.93178, 7.815
1.20558, 5.991 
1.81312, 7.815
0.509076, 5.991 
1.81171, 7.815
1.02894, 5.991 
1.73271, 7.815
2.82405, 5.991 
7.73794, 7.815
0.565141, 5.991 
8.85476, 7.815
2.43757, 5.991 
7.92838, 7.815
4.89814, 5.991 
5.51131, 7.815
3.81732, 5.991 
4.05936, 7.815
3.71146, 5.991 
5.27233, 7.815
0.185424, 5.991 
5.03657, 7.815
2.47884, 5.991 
4.72667, 7.815
0.34315, 5.991 
5.47662, 7.815
0.183335, 5.991 
1.42353, 7.815
1.01176, 5.991 
1.6713, 7.815
0.441238, 5.991 
1.5649, 7.815
1.22429, 5.991 
0.916779, 7.815
0.0687079, 5.991 
1.0589, 7.815
0.947759, 5.991 
1.03327, 7.815
2.73575, 5.991 
0.925637, 7.815
7.23805, 5.991 
1.21238, 7.815
3.04659, 5.991 
0.978918, 7.815
2.16085, 5.991 
2.62505, 7.815
0.891062, 5.991 
1.95349, 7.815
1.82876, 5.991 
2.59716, 7.815
2.54811, 5.991 
3.02829, 7.815
0.254704, 5.991 
6.56179, 7.815
2.20344, 5.991 
3.1908, 7.815
2.68122, 5.991 
3.73393, 7.815
1.40064, 5.991 
4.06438, 7.815
2.88025, 5.991 
3.70003, 7.815
5.28898, 5.991 
1.21808, 7.815
7.88958, 5.991 
1.07582, 7.815
4.57216, 5.991 
1.0158, 7.815
1.25195, 5.991 
0.236551, 7.815
1.80818, 5.991 
0.492391, 7.815
0.649121, 5.991 
0.112662, 7.815
5.1972, 5.991 
0.928515, 7.815
1.84666, 5.991 
1.87076, 7.815
5.83024, 5.991 
0.755836, 7.815
3.26227, 5.991 
3.85071, 7.815
7.69644, 5.991 
4.87032, 7.815
2.44115, 5.991 
3.19772, 7.815
0.136069, 5.991 
8.38463, 7.815
0.396335, 5.991 
9.96803, 7.815
0.935276, 5.991 
7.61371, 7.815
0.873839, 5.991 
3.49189, 7.815
0.659151, 5.991 
3.31746, 7.815
2.2901, 5.991 
3.51788, 7.815
0.908918, 5.991 
4.32924, 7.815
1.52205, 5.991 
4.06265, 7.815
1.78285, 5.991 
4.11907, 7.815
0.944825, 5.991 
5.91411, 7.815
0.846339, 5.991 
6.07726, 7.815
1.77594, 5.991 
5.55044, 7.815
1.13709, 5.991 
4.55427, 7.815
1.52238, 5.991 
5.43228, 7.815
1.72087, 5.991 
4.6907, 7.815
0.753083, 5.991 
0.78128, 7.815
0.105961, 5.991 
0.910931, 7.815
0.758983, 5.991 
0.725424, 7.815
1.7628, 5.991 
6.24348, 7.815
0.936183, 5.991 
5.07808, 7.815
1.98466, 5.991 
6.14816, 7.815
2.61316, 5.991 
1.738, 7.815
0.695668, 5.991 
2.48665, 7.815
2.62378, 5.991 
1.72588, 7.815
0.270966, 5.991 
2.09428, 7.815
1.81009, 5.991 
2.46674, 7.815
0.26562, 5.991 
2.06745, 7.815
2.39902, 5.991 
0.886162, 7.815
1.2879, 5.991 
1.40362, 7.815
2.24652, 5.991 
0.921374, 7.815
0.477587, 5.991 
2.14355, 7.815
0.11367, 5.991 
3.64077, 7.815
0.398058, 5.991 
2.12866, 7.815
0.602902, 5.991 
5.71392, 7.815
